trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
812,False,"{'a': 0.5, 'e': 0.8069840474743645}",20,0,-81.32178899112967,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
813,False,"{'a': 0.5, 'e': 0.8065237461145318}",20,0,-83.34536170418166,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
814,False,"{'a': 0.5, 'e': 0.8060629553230474}",20,0,-61.6961375686433,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
815,False,"{'a': 0.5, 'e': 0.8056016753795379}",30,0,-120.17888812461831,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
816,False,"{'a': 0.5, 'e': 0.8051399065639268}",25,0,-45.40761332095875,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
817,False,"{'a': 0.5, 'e': 0.8046776491564342}",20,0,-38.9334035564864,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
818,False,"{'a': 0.5, 'e': 0.8042149034375773}",30,0,-118.29478513920418,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
819,False,"{'a': 0.5, 'e': 0.8037516696881687}",20,0,-56.536298728657385,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
820,False,"{'a': 0.5, 'e': 0.8032879481893178}",25,0,-132.22994059178322,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
821,False,"{'a': 0.5, 'e': 0.8028237392224298}",30,0,-113.41465250392687,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
822,False,"{'a': 0.5, 'e': 0.8023590430692056}",20,7,5.698889207370778,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
823,False,"{'a': 0.5, 'e': 0.8018938600116421}",20,14,-42.92093385462638,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
824,False,"{'a': 0.5, 'e': 0.8014281903320313}",30,0,-67.83621184527503,"{0: 22, 1: 0, 2: 7, 3: 1, 4: 0}",0
825,False,"{'a': 0.5, 'e': 0.8009620343129605}",25,0,-90.95071631695775,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
826,False,"{'a': 0.5, 'e': 0.8004953922373126}",20,0,-62.66859687014427,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
827,False,"{'a': 0.5, 'e': 0.8000282643882648}",20,0,-138.6367265429224,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
828,False,"{'a': 0.5, 'e': 0.7995606510492896}",20,0,-50.44205278140503,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
829,False,"{'a': 0.5, 'e': 0.799092552504154}",20,0,-70.4462268043291,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
830,False,"{'a': 0.5, 'e': 0.7986239690369191}",25,0,-53.951183731125724,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
831,False,"{'a': 0.5, 'e': 0.7981549009319409}",25,0,-133.6830325461837,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
832,False,"{'a': 0.5, 'e': 0.7976853484738688}",30,0,-195.58354219106295,"{0: 20, 1: 3, 2: 1, 3: 2, 4: 4}",0
833,False,"{'a': 0.5, 'e': 0.7972153119476467}",25,0,-68.9960157413202,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
834,False,"{'a': 0.5, 'e': 0.7967447916385119}",20,0,-67.99931463234695,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
835,False,"{'a': 0.5, 'e': 0.7962737878319955}",20,0,-62.65409630687058,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
836,False,"{'a': 0.5, 'e': 0.7958023008139219}",30,0,-143.09080372446974,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
837,False,"{'a': 0.5, 'e': 0.7953303308704086}",25,0,-209.5080290507342,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
838,False,"{'a': 0.5, 'e': 0.7948578782878664}",20,0,-196.59052277401113,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
839,False,"{'a': 0.5, 'e': 0.7943849433529989}",30,0,-111.51123989209808,"{0: 18, 1: 3, 2: 6, 3: 3, 4: 0}",0
